ID,Title,Description,ErrorCode,Severity,Resolution,Resolved By,Resolution Time
f31a798d-8e68-4a4a-b20d-1d79957b5b0f,Server,Slow response to HTTP requests,N/A,High,"1. Checked server logs for any errors or bottlenecks. 2. Restarted web server services. 3. Increased server resources to handle more connections. 4. Response times improved after service restart and resource allocation.",Technician CX,2 hours
437e431d-c1fd-4189-b756-fd15669b5445,Laptop,Unable to install software,N/A,Low,"1. Verified system requirements and administrator privileges. 2. Checked for conflicting software or permissions issues. 3. Repaired Windows installer. 4. Software installation successful after repairs.",Technician CY,1 hour
f1c99e25-232d-4b47-820d-83d51b9490d4,Desktop,Monitor no signal,N/A,High,"1. Verified cable connections between monitor and computer. 2. Tested with another monitor. 3. Replaced faulty graphics card. 4. Monitor displayed correctly after hardware replacement.",Technician CZ,2 hours
4016a0e9-26b1-42ab-8db8-9f7266aab04e,Server,Authentication errors in Active Directory,N/A,Critical,"1. Checked server synchronization with time server. 2. Validated user credentials and reset password policies. 3. Restarted Active Directory services. 4. Authentication errors resolved after service restart.",Technician DA,1.5 hours
61a58f92-bdb7-41cf-8e8f-3e439b8c5db1,Laptop,No USB devices detected,N/A,Low,"1. Checked USB ports for hardware failures. 2. Reinstalled USB drivers and chipset drivers. 3. Restarted the laptop. 4. USB devices detected after driver reinstallation.",Technician DB,45 minutes
7b9f482f-8478-49d0-86c6-4b40751f0424,Workstation,Crash when launching application,N/A,Medium,"1. Checked application logs and found missing system files. 2. Reinstalled the application and repaired system files. 3. Restarted workstation and launched application. 4. Application launched successfully after reinstallation.",Technician DC,1 hour
60b6a570-e60a-496b-bc01-dcc207e7e97e,Server,Failed RAID rebuild,N/A,Critical,"1. Identified RAID array failure and checked disk health. 2. Replaced failed disk in RAID array. 3. Initiated RAID rebuild process and monitored progress. 4. RAID array successfully rebuilt after disk replacement.",Technician DD,4 hours
7748b8a1-0b5e-47d4-8d9e-fc18ef20d83d,Desktop,Corrupted operating system files,N/A,Critical,"1. Ran system file checker (sfc /scannow) to repair corrupted files. 2. Repaired registry issues using a third-party tool. 3. Rebooted the system and confirmed functionality. 4. System restored after file repairs.",Technician DE,2 hours
ae2c9b9f-d6d8-4b7f-8274-1e96d8e08769,Workstation,No internet connection,N/A,Medium,"1. Verified network adapter settings and reset TCP/IP stack. 2. Restarted modem and router. 3. Reinstalled network adapter drivers. 4. Internet connection restored after driver reinstallation and reset.",Technician DF,1 hour
07b708c2-3a9b-4645-b542-b0cc2a2a6c34,Laptop,Trackpad sensitivity issues,N/A,Low,"1. Checked trackpad sensitivity settings in the control panel. 2. Reinstalled trackpad drivers. 3. Adjusted sensitivity settings for optimal response. 4. Trackpad function restored after driver reinstall.",Technician DG,30 minutes
d5cfe63b-cc39-48f0-b372-e9676343c44b,Printer,Color printing issue,N/A,Low,"1. Checked ink cartridges for clogs and replaced them. 2. Cleaned print heads and performed calibration. 3. Ran a color test print. 4. Color printing restored after cleaning and calibration.",Technician DH,45 minutes
17b0042b-56f2-4f70-92ed-049b8c508228,Server,Slow remote desktop performance,N/A,Medium,"1. Checked server network configuration and resources. 2. Optimized remote desktop settings. 3. Increased system resources for handling remote connections. 4. Remote desktop performance improved after optimization.",Technician DI,2 hours
